id,comment
17884687413264723,"🔥🔥👏"
18160314217348080,"👏👏👏🔥"
90010010010010010,"بصراحة، الفيلم واعر بزاف. قصة زوينة وتمثيل على حقو وطريقو. تحية للناس لي خدمو عليه."
90010010010010011,"طويل بزاف! حسيت بالملل فالنص ديالو. كان خاصهم ينقصو من شي لقطات."
90010010010010012,"ضحكني هاد الفيلم! زوين بزاف وكايدوز بالزربة. الأجواء ديالو فكراتني فالمغرب ديال زمان."
17973693803945871,"🔥🔥👏👏"
17952481668041100,"👏👏👏"
18062126537117471,"🔥🔥🔥"
17950617089902609,"❤️❤️"
18115199554547996,"🔥🔥🔥🔥"
18078484061038095,"🔥🔥🔥🔥🔥👏👏"
18083542450779219,"الإبداع👏👏❤️"
17978223386920130,"👏👏👏🏻👏👏👏👏👏👏"
18114923110537448,"👏👏👏"
18320501308208684,"🙌🔥👏😍😮😂"
18065359256369417,"😂😂"
18292712098257203,"😂😂😂❤️"
90010010010010013,"الكاميرا ماكانتش واضحة فشي بلايص، والديكورات قدام بزاف. خاصهم شوية ديال التجديد."
90010010010010014,"الفنانة الفلانية أبدعات! تستاهل شي جائزة. تفرجت فيه جوج مرات باش نعاود نشوف التمثيل ديالها."
90010010010010015,"خسارة ديال الفلوس والوقت. القصة ماعندها علاقة بالواقع المغربي ديال دابا."
